 model: 1, d1 = 250.841, d2 = 265.699, d3 = 265.73, d4 = 1524.62, d5 = 199.616, d6 = 815.804, d7 = 856.738, d8 = 1273.77, d9 = 175.355, d10 = 175.355, d11 = 523.979, d12 = 522.244, d13 = 432.892, d14 = 403.265, d15 = 0.495768
 model: 2, d1 = 199.761, d2 = 255.37, d3 = 247.317, d4 = 1314.18, d5 = 199.512, d6 = 730.628, d7 = 695.175, d8 = 1114.42, d9 = 159.401, d10 = 159.401, d11 = 526.607, d12 = 488.915, d13 = 399.021, d14 = 369.375, d15 = 0.54136
 model: 3, d1 = 218.092, d2 = 274.266, d3 = 273, d4 = 1550.31, d5 = 205.611, d6 = 857.975, d7 = 898.059, d8 = 1332.21, d9 = 181.501, d10 = 181.501, d11 = 581.103, d12 = 550.688, d13 = 468.342, d14 = 457.121, d15 = 0.449805
 model: 4, d1 = 213.043, d2 = 265.087, d3 = 252.33, d4 = 1455.56, d5 = 205.039, d6 = 793.416, d7 = 811.653, d8 = 1242.52, d9 = 168.018, d10 = 168.018, d11 = 523.066, d12 = 525.173, d13 = 409.965, d14 = 409.178, d15 = 0.501102
 model: 5, d1 = 204.987, d2 = 269.163, d3 = 258.644, d4 = 1463.66, d5 = 201.22, d6 = 768.234, d7 = 835.832, d8 = 1258.67, d9 = 178.77, d10 = 178.77, d11 = 512.805, d12 = 504.577, d13 = 402.192, d14 = 402.393, d15 = 0.500059
 model: 6, d1 = 207.91, d2 = 260.864, d3 = 261.335, d4 = 1521.35, d5 = 209.122, d6 = 814.666, d7 = 868.793, d8 = 1313.44, d9 = 155.94, d10 = 155.94, d11 = 499.578, d12 = 453.615, d13 = 434.84, d14 = 418.72, d15 = 0.499472
 model: 7, d1 = 205.923, d2 = 274.678, d3 = 266.844, d4 = 1432.6, d5 = 205.277, d6 = 827.451, d7 = 795.317, d8 = 1226.68, d9 = 182.509, d10 = 182.509, d11 = 505.663, d12 = 493.38, d13 = 410.445, d14 = 410.481, d15 = 0.500089
 model: 8, d1 = 199.611, d2 = 255.008, d3 = 245.792, d4 = 1317.48, d5 = 182.869, d6 = 748.635, d7 = 732.517, d8 = 1117.87, d9 = 177.731, d10 = 177.731, d11 = 538.277, d12 = 493.062, d13 = 371.276, d14 = 373.833, d15 = 0.489195
 model: 9, d1 = 212.414, d2 = 297.391, d3 = 292.879, d4 = 1477.9, d5 = 216.989, d6 = 762.733, d7 = 809.499, d8 = 1265.48, d9 = 203.365, d10 = 203.365, d11 = 491.032, d12 = 497.279, d13 = 434.003, d14 = 433.783, d15 = 0.500225
 model: 10, d1 = 204.296, d2 = 267.068, d3 = 259.371, d4 = 1435.13, d5 = 199.294, d6 = 743.274, d7 = 812.039, d8 = 1230.83, d9 = 177.785, d10 = 177.785, d11 = 491.302, d12 = 478.655, d13 = 398.484, d14 = 398.559, d15 = 0.500037
 model: 11, d1 = 218.973, d2 = 276.933, d3 = 265.153, d4 = 1545.86, d5 = 214.627, d6 = 832.16, d7 = 875.979, d8 = 1326.89, d9 = 175.006, d10 = 175.006, d11 = 582.566, d12 = 595.869, d13 = 430.079, d14 = 434.115, d15 = 0.494529
 model: 12, d1 = 220.974, d2 = 300.869, d3 = 300.115, d4 = 1624.14, d5 = 230.905, d6 = 885.587, d7 = 917.862, d8 = 1403.17, d9 = 192.881, d10 = 192.881, d11 = 576.377, d12 = 513.806, d13 = 497.128, d14 = 474.812, d15 = 0.486723
 model: 13, d1 = 233.221, d2 = 279.029, d3 = 278.848, d4 = 1576.7, d5 = 223.723, d6 = 840.027, d7 = 876.853, d8 = 1343.48, d9 = 166.748, d10 = 166.748, d11 = 547.665, d12 = 544.524, d13 = 451.998, d14 = 419.175, d15 = 0.53373
 model: 14, d1 = 236.961, d2 = 273.961, d3 = 274.355, d4 = 1516.75, d5 = 218.219, d6 = 796.982, d7 = 824.033, d8 = 1279.79, d9 = 165.608, d10 = 165.608, d11 = 552.91, d12 = 524.608, d13 = 424.295, d14 = 398.198, d15 = 0.548653
 model: 15, d1 = 213.708, d2 = 286.22, d3 = 287.749, d4 = 1435.84, d5 = 210.388, d6 = 787.835, d7 = 780.024, d8 = 1222.13, d9 = 194.058, d10 = 194.059, d11 = 514.556, d12 = 505.923, d13 = 420.7, d14 = 420.749, d15 = 0.500033
 model: 16, d1 = 206.782, d2 = 312.16, d3 = 312.624, d4 = 1406.29, d5 = 204.076, d6 = 747.007, d7 = 770.665, d8 = 1199.51, d9 = 236.212, d10 = 236.213, d11 = 441.056, d12 = 459.811, d13 = 407.949, d14 = 408.002, d15 = 0.500185
 model: 17, d1 = 216.166, d2 = 302.436, d3 = 304.379, d4 = 1554.2, d5 = 213.821, d6 = 782.623, d7 = 888.714, d8 = 1338.03, d9 = 213.888, d10 = 213.888, d11 = 557.66, d12 = 559.718, d13 = 427.621, d14 = 427.619, d15 = 0.500026
 model: 18, d1 = 202.601, d2 = 263.673, d3 = 261.358, d4 = 1345.62, d5 = 201.445, d6 = 736.969, d7 = 719.704, d8 = 1143.02, d9 = 170.13, d10 = 170.129, d11 = 549.504, d12 = 527.999, d13 = 402.725, d14 = 402.908, d15 = 0.499977
 model: 19, d1 = 222.253, d2 = 293.342, d3 = 293.205, d4 = 1483.48, d5 = 227.701, d6 = 736.289, d7 = 782.304, d8 = 1261.23, d9 = 184.91, d10 = 184.911, d11 = 529.397, d12 = 499.229, d13 = 444.514, d14 = 414.171, d15 = 0.550093
 model: 20, d1 = 220.542, d2 = 292.483, d3 = 285.568, d4 = 1498.36, d5 = 219.428, d6 = 882.988, d7 = 816.713, d8 = 1277.82, d9 = 193.385, d10 = 193.385, d11 = 596.722, d12 = 577.235, d13 = 438.666, d14 = 437.391, d15 = 0.501677
 model: 21, d1 = 211.037, d2 = 276.575, d3 = 275.437, d4 = 1450.78, d5 = 207.547, d6 = 798.846, d7 = 803.611, d8 = 1239.75, d9 = 182.808, d10 = 182.807, d11 = 535.2, d12 = 508.541, d13 = 414.872, d14 = 415.025, d15 = 0.500084
 model: 22, d1 = 246.42, d2 = 294.033, d3 = 295.453, d4 = 1569.64, d5 = 228.857, d6 = 853.019, d7 = 841.169, d8 = 1323.22, d9 = 184.587, d10 = 184.587, d11 = 546.335, d12 = 544.398, d13 = 424.85, d14 = 430.406, d15 = 0.531789
 model: 23, d1 = 201.605, d2 = 250.128, d3 = 249.674, d4 = 1264.86, d5 = 194.717, d6 = 702.376, d7 = 654.079, d8 = 1063.26, d9 = 157, d10 = 157.001, d11 = 489.064, d12 = 475.724, d13 = 389.273, d14 = 389.403, d15 = 0.50004
 model: 24, d1 = 211.054, d2 = 286.978, d3 = 284.017, d4 = 1470.98, d5 = 212.023, d6 = 819.272, d7 = 814.388, d8 = 1259.92, d9 = 193.396, d10 = 193.396, d11 = 528.342, d12 = 534.264, d13 = 423.9, d14 = 424.006, d15 = 0.500048
 model: 25, d1 = 177.31, d2 = 275.676, d3 = 276.376, d4 = 1573.87, d5 = 210.838, d6 = 932.132, d7 = 951.972, d8 = 1396.56, d9 = 177.576, d10 = 177.576, d11 = 587.628, d12 = 556.714, d13 = 496.657, d14 = 485.283, d15 = 0.434462
 model: 26, d1 = 193.904, d2 = 252.721, d3 = 245.638, d4 = 1276.64, d5 = 193.809, d6 = 666.505, d7 = 675.465, d8 = 1082.74, d9 = 162.191, d10 = 162.191, d11 = 531.405, d12 = 481.153, d13 = 387.098, d14 = 387.464, d15 = 0.500199
