 model: 1, d1 = 1530.26, d2 = 0.00012919, d3 = 1524.62, d4 = 1284.07, d5 = 175.355, d6 = 175.355, d7 = 265.699
 model: 2, d1 = 1389.05, d2 = 0.000143612, d3 = 1314.18, d4 = 1193.42, d5 = 159.401, d6 = 159.401, d7 = 255.37
 model: 3, d1 = 1546.64, d2 = 0.000126926, d3 = 1550.31, d4 = 1335.45, d5 = 181.501, d6 = 181.501, d7 = 274.266
 model: 4, d1 = 1467.34, d2 = 0.000130015, d3 = 1455.56, d4 = 1269.93, d5 = 168.018, d6 = 168.018, d7 = 265.087
 model: 5, d1 = 1448.32, d2 = 0.000145454, d3 = 1463.66, d4 = 1247.31, d5 = 178.77, d6 = 178.77, d7 = 269.163
 model: 6, d1 = 1404.09, d2 = 0.00014159, d3 = 1521.35, d4 = 1202.31, d5 = 155.94, d6 = 155.94, d7 = 260.864
 model: 7, d1 = 1490.71, d2 = 0.000137673, d3 = 1432.6, d4 = 1291.5, d5 = 182.509, d6 = 182.509, d7 = 274.678
 model: 8, d1 = 1416.02, d2 = 0.000146023, d3 = 1317.48, d4 = 1221.36, d5 = 177.731, d6 = 177.731, d7 = 255.008
 model: 9, d1 = 1534.03, d2 = 0.000149232, d3 = 1477.9, d4 = 1321.85, d5 = 203.365, d6 = 203.365, d7 = 297.391
 model: 10, d1 = 1414.26, d2 = 0.000149658, d3 = 1435.13, d4 = 1223.44, d5 = 177.785, d6 = 177.785, d7 = 267.068
 model: 11, d1 = 1527.67, d2 = 0.000123885, d3 = 1545.86, d4 = 1328.78, d5 = 175.006, d6 = 175.006, d7 = 276.933
 model: 12, d1 = 1587.83, d2 = 0.00013062, d3 = 1624.14, d4 = 1391.37, d5 = 192.881, d6 = 192.881, d7 = 300.869
 model: 13, d1 = 1623.76, d2 = 0.000108413, d3 = 1576.7, d4 = 1394.11, d5 = 166.748, d6 = 166.748, d7 = 279.029
 model: 14, d1 = 1481.71, d2 = 0.000135887, d3 = 1516.75, d4 = 1258.27, d5 = 165.608, d6 = 165.608, d7 = 273.961
 model: 15, d1 = 1522.4, d2 = 0.000140714, d3 = 1435.84, d4 = 1317.47, d5 = 194.058, d6 = 194.059, d7 = 286.22
 model: 16, d1 = 1462, d2 = 0.000189538, d3 = 1406.29, d4 = 1257.62, d5 = 236.212, d6 = 236.213, d7 = 312.16
 model: 17, d1 = 1533.52, d2 = 0.000151752, d3 = 1554.2, d4 = 1330.14, d5 = 213.888, d6 = 213.888, d7 = 302.436
 model: 18, d1 = 1396.61, d2 = 0.000152126, d3 = 1345.62, d4 = 1198.87, d5 = 170.13, d6 = 170.129, d7 = 263.673
 model: 19, d1 = 1540.3, d2 = 0.000138574, d3 = 1483.48, d4 = 1320, d5 = 184.91, d6 = 184.911, d7 = 293.342
 model: 20, d1 = 1579.4, d2 = 0.000131081, d3 = 1498.36, d4 = 1365.64, d5 = 193.385, d6 = 193.385, d7 = 292.483
 model: 21, d1 = 1479.96, d2 = 0.000141173, d3 = 1450.78, d4 = 1278.9, d5 = 182.808, d6 = 182.807, d7 = 276.575
 model: 22, d1 = 1605.13, d2 = 0.000127467, d3 = 1569.64, d4 = 1359.79, d5 = 184.587, d6 = 184.587, d7 = 294.033
 model: 23, d1 = 1393.05, d2 = 0.000140064, d3 = 1264.86, d4 = 1192.66, d5 = 157, d6 = 157.001, d7 = 250.128
 model: 24, d1 = 1525.04, d2 = 0.000140801, d3 = 1470.98, d4 = 1319.34, d5 = 193.396, d6 = 193.396, d7 = 286.978
 model: 25, d1 = 1612.04, d2 = 0.000107934, d3 = 1573.87, d4 = 1442.15, d5 = 177.576, d6 = 177.576, d7 = 275.676
 model: 26, d1 = 1370.18, d2 = 0.000149313, d3 = 1276.64, d4 = 1177.45, d5 = 162.191, d6 = 162.191, d7 = 252.721
 model: 27, d1 = 1556.31, d2 = 0.000128123, d3 = 1557.08, d4 = 1351.36, d5 = 179.212, d6 = 179.212, d7 = 288.706
 model: 28, d1 = 1590.79, d2 = 0.00013088, d3 = 1525.42, d4 = 1375.25, d5 = 195.897, d6 = 195.897, d7 = 293.769
 model: 29, d1 = 1505.86, d2 = 0.000123433, d3 = 1523.64, d4 = 1298.27, d5 = 158.211, d6 = 158.212, d7 = 274.009
 model: 30, d1 = 1488.31, d2 = 0.000159506, d3 = 1499.45, d4 = 1262.02, d5 = 193.841, d6 = 193.841, d7 = 295.399
 model: 31, d1 = 1450.49, d2 = 0.000149675, d3 = 1463.01, d4 = 1264.13, d5 = 180.619, d6 = 180.619, d7 = 281.726
 model: 32, d1 = 1522.78, d2 = 0.000141516, d3 = 1475.91, d4 = 1312.69, d5 = 191.541, d6 = 191.541, d7 = 286.348
 model: 33, d1 = 1566.02, d2 = 0.000115118, d3 = 1552.59, d4 = 1366.36, d5 = 169.604, d6 = 169.603, d7 = 272.306
 model: 34, d1 = 1633.6, d2 = 0.000114096, d3 = 1568.53, d4 = 1392.24, d5 = 178.415, d6 = 178.416, d7 = 281.516
 model: 35, d1 = 1553.97, d2 = 0.000166286, d3 = 1538.85, d4 = 1337.66, d5 = 229.62, d6 = 229.62, d7 = 322.409
 model: 36, d1 = 1528.59, d2 = 0.000115578, d3 = 1571.18, d4 = 1313.25, d5 = 155.552, d6 = 155.552, d7 = 266.528
 model: 37, d1 = 1462.17, d2 = 0.000128762, d3 = 1408.21, d4 = 1264.49, d5 = 170.186, d6 = 170.186, d7 = 248.033
 model: 38, d1 = 1503.04, d2 = 0.000108473, d3 = 1545.69, d4 = 1309.73, d5 = 143.272, d6 = 143.272, d7 = 258.853
 model: 39, d1 = 1645.89, d2 = 0.000110988, d3 = 1528.54, d4 = 1425.75, d5 = 179.592, d6 = 179.593, d7 = 285.458
 model: 40, d1 = 1551.99, d2 = 0.0001198, d3 = 1525.47, d4 = 1318.49, d5 = 163.118, d6 = 163.118, d7 = 274.507
 model: 41, d1 = 1563.6, d2 = 0.000152128, d3 = 1543.99, d4 = 1348.28, d5 = 218.207, d6 = 218.207, d7 = 307.093
 model: 42, d1 = 1584.16, d2 = 0.0001345, d3 = 1531.57, d4 = 1319.63, d5 = 201.671, d6 = 201.671, d7 = 275.139
 model: 43, d1 = 1585.58, d2 = 0.000112468, d3 = 1493.73, d4 = 1370.37, d5 = 165.273, d6 = 165.273, d7 = 279.896
 model: 44, d1 = 1494.15, d2 = 0.000137317, d3 = 1545.14, d4 = 1292.64, d5 = 179.232, d6 = 179.232, d7 = 275.762
 model: 45, d1 = 1612.72, d2 = 0.000116508, d3 = 1559.65, d4 = 1395.79, d5 = 178.201, d6 = 178.201, d7 = 286.186
 model: 46, d1 = 1647.82, d2 = 0.00010993, d3 = 1598.72, d4 = 1405.17, d5 = 179.415, d6 = 179.415, d7 = 274.412
 model: 47, d1 = 1424.54, d2 = 0.000142428, d3 = 1402.06, d4 = 1219.95, d5 = 167.166, d6 = 167.164, d7 = 259.598
 model: 48, d1 = 1596.79, d2 = 0.000138887, d3 = 1592.55, d4 = 1366.71, d5 = 198.396, d6 = 198.396, d7 = 308.722
 model: 49, d1 = 1561.97, d2 = 0.000121422, d3 = 1505.93, d4 = 1348.98, d5 = 174.541, d6 = 174.542, d7 = 279.984
 model: 50, d1 = 1532.25, d2 = 0.000124561, d3 = 1534.13, d4 = 1315.4, d5 = 171.384, d6 = 171.384, d7 = 270.229
 model: 51, d1 = 1513.77, d2 = 0.000128051, d3 = 1538.42, d4 = 1309.27, d5 = 174.302, d6 = 174.302, d7 = 273.353
 model: 52, d1 = 1621.21, d2 = 0.000121411, d3 = 1631.79, d4 = 1408.03, d5 = 189.235, d6 = 189.235, d7 = 292.789
 model: 53, d1 = 1484.18, d2 = 0.000132049, d3 = 1525.4, d4 = 1233.6, d5 = 163.363, d6 = 163.363, d7 = 258.25
 model: 54, d1 = 1408.93, d2 = 0.000112267, d3 = 1388.08, d4 = 1211.11, d5 = 131.029, d6 = 131.03, d7 = 232.017
 model: 55, d1 = 1412.23, d2 = 0.000141783, d3 = 1492.98, d4 = 1210.27, d5 = 162.753, d6 = 162.752, d7 = 257.226
 model: 56, d1 = 1462.5, d2 = 0.000152261, d3 = 1521.56, d4 = 1265.64, d5 = 193.222, d6 = 193.222, d7 = 282.876
 model: 57, d1 = 1396.19, d2 = 0.00018539, d3 = 1445.03, d4 = 1126.5, d5 = 206.908, d6 = 206.907, d7 = 264.396
 model: 58, d1 = 1581.77, d2 = 0.000120985, d3 = 1551.43, d4 = 1372.21, d5 = 182.564, d6 = 182.563, d7 = 277.945
 model: 59, d1 = 1516.16, d2 = 0.000107705, d3 = 1450.81, d4 = 1307.89, d5 = 144.432, d6 = 144.433, d7 = 256.333
 model: 60, d1 = 1349.01, d2 = 0.000147934, d3 = 1405.57, d4 = 1177.97, d5 = 161.443, d6 = 161.444, d7 = 245.213
 model: 61, d1 = 1569.28, d2 = 0.00014692, d3 = 1541.96, d4 = 1306.4, d5 = 210.583, d6 = 210.583, d7 = 289.344
 model: 62, d1 = 1479.72, d2 = 0.000148218, d3 = 1498.26, d4 = 1275.94, d5 = 190.598, d6 = 190.598, d7 = 280.237
 model: 63, d1 = 1605.36, d2 = 0.000122011, d3 = 1584.81, d4 = 1393.31, d5 = 187.237, d6 = 187.238, d7 = 290.595
 model: 64, d1 = 1518.83, d2 = 0.000129971, d3 = 1433.63, d4 = 1322.11, d5 = 181.458, d6 = 181.457, d7 = 277.954
 model: 65, d1 = 1495.34, d2 = 0.000169639, d3 = 1459.31, d4 = 1288.61, d5 = 221.025, d6 = 221.025, d7 = 306.762
 model: 66, d1 = 1494.26, d2 = 0.000146958, d3 = 1539.29, d4 = 1266.78, d5 = 180.651, d6 = 180.651, d7 = 286.324
 model: 67, d1 = 1485.74, d2 = 0.000137653, d3 = 1526.12, d4 = 1272.11, d5 = 172.464, d6 = 172.464, d7 = 275.487
 model: 68, d1 = 1469.73, d2 = 0.000150292, d3 = 1449.51, d4 = 1265.18, d5 = 189.389, d6 = 189.389, d7 = 280.007
 model: 69, d1 = 1543.92, d2 = 0.000118135, d3 = 1475.28, d4 = 1334.79, d5 = 165.971, d6 = 165.972, d7 = 273.135
 model: 70, d1 = 1508.59, d2 = 0.000122013, d3 = 1476.85, d4 = 1292.54, d5 = 159.5, d6 = 159.5, d7 = 266.239
 model: 71, d1 = 1554.35, d2 = 0.000111521, d3 = 1563.15, d4 = 1340.57, d5 = 155.404, d6 = 155.403, d7 = 271.129
 model: 72, d1 = 1357.19, d2 = 0.000124791, d3 = 1352.11, d4 = 1165.28, d5 = 134.354, d6 = 134.354, d7 = 229.552
 model: 73, d1 = 1507.8, d2 = 0.000135235, d3 = 1420.21, d4 = 1299.57, d5 = 180.132, d6 = 180.132, d7 = 276.258
 model: 74, d1 = 1581.37, d2 = 0.000115915, d3 = 1571.63, d4 = 1361.47, d5 = 172.531, d6 = 172.531, d7 = 271.91
 model: 75, d1 = 1504.5, d2 = 0.000135597, d3 = 1585.41, d4 = 1279.96, d5 = 170.11, d6 = 170.11, d7 = 280.61
 model: 76, d1 = 1490.02, d2 = 0.000156475, d3 = 1419.16, d4 = 1287.69, d5 = 203.154, d6 = 203.154, d7 = 293.787
 model: 77, d1 = 1494.72, d2 = 0.000100484, d3 = 1456.6, d4 = 1324.97, d5 = 137.937, d6 = 137.937, d7 = 245.729
 model: 78, d1 = 1495.9, d2 = 0.000142888, d3 = 1579.41, d4 = 1292, d5 = 180.852, d6 = 180.851, d7 = 287.318
 model: 79, d1 = 1467.6, d2 = 0.000134408, d3 = 1473.58, d4 = 1247.41, d5 = 164.509, d6 = 164.509, d7 = 264.307
