 model: 1, d1 = 1536.84, d2 = 0.000111133, d3 = 1490.03, d4 = 1271.08, d5 = 148.43, d6 = 148.429, d7 = 250.943
 model: 2, d1 = 1444.45, d2 = 0.000122235, d3 = 1417.6, d4 = 1206.35, d5 = 144.399, d6 = 144.399, d7 = 242.704
 model: 3, d1 = 1527.56, d2 = 0.000127714, d3 = 1570.67, d4 = 1264.29, d5 = 165.968, d6 = 165.968, d7 = 265.509
 model: 4, d1 = 1493.62, d2 = 0.000118134, d3 = 1491.75, d4 = 1241.51, d5 = 153.454, d6 = 153.454, d7 = 241.096
 model: 5, d1 = 1453.52, d2 = 0.000123647, d3 = 1448.56, d4 = 1205.62, d5 = 152.35, d6 = 152.349, d7 = 235.121
 model: 6, d1 = 1393.8, d2 = 0.000143592, d3 = 1432.79, d4 = 1162.21, d5 = 152.082, d6 = 152.081, d7 = 252.183
 model: 7, d1 = 1517.57, d2 = 0.000119434, d3 = 1480.22, d4 = 1269.51, d5 = 159.213, d6 = 159.212, d7 = 252.639
 model: 8, d1 = 1422.18, d2 = 0.000131725, d3 = 1411.62, d4 = 1187.29, d5 = 152.798, d6 = 152.798, d7 = 240.885
 model: 9, d1 = 1513.84, d2 = 0.000131613, d3 = 1473.48, d4 = 1235.27, d5 = 164.636, d6 = 164.637, d7 = 262.664
 model: 10, d1 = 1430.89, d2 = 0.000126443, d3 = 1377.33, d4 = 1179.84, d5 = 151.026, d6 = 151.025, d7 = 229.806
 model: 11, d1 = 1542.62, d2 = 0.00012379, d3 = 1565.27, d4 = 1258.79, d5 = 162.751, d6 = 162.751, d7 = 260.689
 model: 12, d1 = 1576.22, d2 = 0.000117421, d3 = 1638.01, d4 = 1313.58, d5 = 165.824, d6 = 165.824, d7 = 266.894
 model: 13, d1 = 1605.3, d2 = 0.000108441, d3 = 1566.49, d4 = 1314.79, d5 = 158.24, d6 = 158.24, d7 = 257.549
 model: 14, d1 = 1463.03, d2 = 0.000137274, d3 = 1503.95, d4 = 1196.66, d5 = 160.947, d6 = 160.947, d7 = 254.917
 model: 15, d1 = 1508.75, d2 = 0.000140545, d3 = 1555.34, d4 = 1230.84, d5 = 172.904, d6 = 172.904, d7 = 271.241
 model: 16, d1 = 1463.93, d2 = 0.000173987, d3 = 1573.15, d4 = 1199.22, d5 = 202.028, d6 = 202.028, d7 = 287.055
 model: 17, d1 = 1545.39, d2 = 0.00012658, d3 = 1559.08, d4 = 1273.62, d5 = 166.745, d6 = 166.746, d7 = 268.963
 model: 18, d1 = 1432.1, d2 = 0.00011829, d3 = 1399.65, d4 = 1190.43, d5 = 140.607, d6 = 140.608, d7 = 228.828
 model: 19, d1 = 1544.47, d2 = 0.000134435, d3 = 1511.84, d4 = 1300.95, d5 = 181.804, d6 = 181.804, d7 = 280.779
 model: 20, d1 = 1589.36, d2 = 0.000115016, d3 = 1568.37, d4 = 1312.17, d5 = 164.164, d6 = 164.165, d7 = 264.393
 model: 21, d1 = 1495.59, d2 = 0.000129747, d3 = 1524.06, d4 = 1235.95, d5 = 163.127, d6 = 163.127, d7 = 256.637
 model: 22, d1 = 1584.13, d2 = 0.000119583, d3 = 1584.23, d4 = 1304.13, d5 = 168.833, d6 = 168.834, d7 = 266.724
 model: 23, d1 = 1376.03, d2 = 0.000142682, d3 = 1425.12, d4 = 1111.78, d5 = 146.615, d6 = 146.615, d7 = 234.219
 model: 24, d1 = 1546.58, d2 = 0.000111791, d3 = 1477.44, d4 = 1285.02, d5 = 153.229, d6 = 153.229, d7 = 251.952
 model: 25, d1 = 1596.19, d2 = 0.00011741, d3 = 1614, d4 = 1330.43, d5 = 168.834, d6 = 168.834, d7 = 273.388
 model: 26, d1 = 1357.81, d2 = 0.000162865, d3 = 1309.51, d4 = 1162.04, d5 = 171.217, d6 = 171.217, d7 = 260.168
 model: 27, d1 = 1563.25, d2 = 0.00011405, d3 = 1538.58, d4 = 1327.82, d5 = 162.524, d6 = 162.524, d7 = 264.892
 model: 28, d1 = 1590.18, d2 = 0.000121149, d3 = 1634.88, d4 = 1321.03, d5 = 170.182, d6 = 170.182, d7 = 277.858
 model: 29, d1 = 1494.3, d2 = 0.000136033, d3 = 1545.99, d4 = 1226.03, d5 = 170.149, d6 = 170.148, d7 = 259.524
 model: 30, d1 = 1460.39, d2 = 0.000142391, d3 = 1469.2, d4 = 1200.71, d5 = 165.326, d6 = 165.328, d7 = 261.788
 model: 31, d1 = 1446.66, d2 = 0.000129398, d3 = 1427.53, d4 = 1208.33, d5 = 154.191, d6 = 154.192, d7 = 246.958
 model: 32, d1 = 1507.13, d2 = 0.000128977, d3 = 1482.28, d4 = 1231.01, d5 = 161.134, d6 = 161.134, d7 = 257.781
 model: 33, d1 = 1554.55, d2 = 0.000116928, d3 = 1547.64, d4 = 1273.62, d5 = 157.72, d6 = 157.72, d7 = 257.474
 model: 34, d1 = 1629.68, d2 = 0.000108923, d3 = 1565.55, d4 = 1345.16, d5 = 163.275, d6 = 163.276, d7 = 268.328
 model: 35, d1 = 1536.82, d2 = 0.000153615, d3 = 1649.37, d4 = 1270.89, d5 = 193.058, d6 = 193.057, d7 = 297.938
 model: 36, d1 = 1523.72, d2 = 0.000117521, d3 = 1336.52, d4 = 1234.26, d5 = 161.705, d6 = 161.704, d7 = 232.188
 model: 37, d1 = 1445.27, d2 = 0.000127572, d3 = 1430.13, d4 = 1182.58, d5 = 154.302, d6 = 154.302, d7 = 232.002
 model: 38, d1 = 1491.19, d2 = 0.000120001, d3 = 1472.84, d4 = 1225.48, d5 = 146.955, d6 = 146.955, d7 = 250.181
 model: 39, d1 = 1641.87, d2 = 0.000105777, d3 = 1608.59, d4 = 1366.35, d5 = 162.903, d6 = 162.903, d7 = 269.172
 model: 40, d1 = 1521.01, d2 = 0.000117009, d3 = 1553.76, d4 = 1264.41, d5 = 152.831, d6 = 152.831, d7 = 254.355
 model: 41, d1 = 1552.96, d2 = 0.000114799, d3 = 1622.84, d4 = 1269.53, d5 = 150.627, d6 = 150.626, d7 = 260.82
 model: 42, d1 = 1575.16, d2 = 0.000118677, d3 = 1534.42, d4 = 1306.85, d5 = 172.655, d6 = 172.655, d7 = 258.028
 model: 43, d1 = 1592, d2 = 0.000119825, d3 = 1654.02, d4 = 1298.09, d5 = 167.745, d6 = 167.745, d7 = 268.997
 model: 44, d1 = 1476.85, d2 = 0.000122537, d3 = 1492.96, d4 = 1239.86, d5 = 147.98, d6 = 147.98, d7 = 258.027
 model: 45, d1 = 1580.88, d2 = 9.52322e-05, d3 = 1557.24, d4 = 1338.66, d5 = 141.774, d6 = 141.775, d7 = 244.08
 model: 46, d1 = 1636.13, d2 = 0.000118382, d3 = 1495.37, d4 = 1339.23, d5 = 175.194, d6 = 175.193, d7 = 279.381
 model: 47, d1 = 1429.89, d2 = 0.000131061, d3 = 1450.12, d4 = 1155.58, d5 = 147.988, d6 = 147.988, d7 = 235.367
 model: 48, d1 = 1591.62, d2 = 0.000119499, d3 = 1584.4, d4 = 1338.6, d5 = 170.235, d6 = 170.234, d7 = 279.7
 model: 49, d1 = 1561.07, d2 = 0.000117534, d3 = 1552.72, d4 = 1301.15, d5 = 160.972, d6 = 160.972, d7 = 266.157
 model: 50, d1 = 1504.34, d2 = 0.000121927, d3 = 1532.71, d4 = 1245.98, d5 = 156.832, d6 = 156.832, d7 = 250.878
 model: 51, d1 = 1525.36, d2 = 0.000119801, d3 = 1544.48, d4 = 1273.01, d5 = 158.25, d6 = 158.25, d7 = 257.784
 model: 52, d1 = 1630.07, d2 = 0.000108508, d3 = 1592.43, d4 = 1393.58, d5 = 169.672, d6 = 169.671, d7 = 275.743
 model: 53, d1 = 1452.34, d2 = 0.000156376, d3 = 1394.61, d4 = 1240.84, d5 = 188.561, d6 = 188.561, d7 = 278.82
 model: 54, d1 = 1406.59, d2 = 0.000126759, d3 = 1388.52, d4 = 1167.87, d5 = 143.024, d6 = 143.024, d7 = 232.318
 model: 55, d1 = 1387.56, d2 = 0.0001081, d3 = 1446.6, d4 = 1205.36, d5 = 119.543, d6 = 119.543, d7 = 237.22
 model: 56, d1 = 1481.88, d2 = 0.000130079, d3 = 1457.43, d4 = 1229.47, d5 = 165.251, d6 = 165.251, d7 = 249.057
 model: 57, d1 = 1355.14, d2 = 0.000156868, d3 = 1374.17, d4 = 1107.47, d5 = 154.715, d6 = 154.716, d7 = 244.993
 model: 58, d1 = 1570.05, d2 = 0.000113092, d3 = 1565.93, d4 = 1327.99, d5 = 158.896, d6 = 158.896, d7 = 268.679
 model: 59, d1 = 1508.05, d2 = 0.000114394, d3 = 1458.53, d4 = 1237.53, d5 = 148.707, d6 = 148.707, d7 = 239.617
 model: 60, d1 = 1368.92, d2 = 0.000158512, d3 = 1431.52, d4 = 1132.11, d5 = 163.791, d6 = 163.791, d7 = 249.999
 model: 61, d1 = 1530.2, d2 = 0.000122217, d3 = 1532.29, d4 = 1257.5, d5 = 161.029, d6 = 161.029, d7 = 255.577
 model: 62, d1 = 1453.65, d2 = 0.000129502, d3 = 1409.57, d4 = 1205.54, d5 = 152.344, d6 = 152.345, d7 = 250.486
 model: 63, d1 = 1630.92, d2 = 0.000101478, d3 = 1616.41, d4 = 1366.02, d5 = 154.954, d6 = 154.954, d7 = 265.239
 model: 64, d1 = 1512.46, d2 = 0.000115968, d3 = 1477.41, d4 = 1278.4, d5 = 159.387, d6 = 159.387, d7 = 244.024
 model: 65, d1 = 1500.73, d2 = 0.000125884, d3 = 1491.12, d4 = 1231.13, d5 = 157.422, d6 = 157.421, d7 = 253.749
 model: 66, d1 = 1480.9, d2 = 0.000143949, d3 = 1549.84, d4 = 1225.18, d5 = 170.62, d6 = 170.62, d7 = 272.434
 model: 67, d1 = 1488.66, d2 = 0.00012591, d3 = 1498.92, d4 = 1231.76, d5 = 161.978, d6 = 161.978, d7 = 245.279
 model: 68, d1 = 1480.26, d2 = 0.00012724, d3 = 1523.29, d4 = 1215.34, d5 = 156.081, d6 = 156.081, d7 = 248.634
 model: 69, d1 = 1557.76, d2 = 0.000108937, d3 = 1537.12, d4 = 1297.65, d5 = 149.762, d6 = 149.762, d7 = 255.908
 model: 70, d1 = 1482.04, d2 = 0.000120455, d3 = 1499.99, d4 = 1213.49, d5 = 148.826, d6 = 148.825, d7 = 241.316
 model: 71, d1 = 1539.52, d2 = 0.000121272, d3 = 1618.86, d4 = 1278.77, d5 = 155.191, d6 = 155.19, d7 = 272.411
 model: 72, d1 = 1363.14, d2 = 0.000131711, d3 = 1361.35, d4 = 1125.09, d5 = 133.384, d6 = 133.383, d7 = 233.142
 model: 73, d1 = 1491.78, d2 = 0.00012909, d3 = 1517.21, d4 = 1225.19, d5 = 157.926, d6 = 157.926, d7 = 256.999
 model: 74, d1 = 1567.94, d2 = 0.00012795, d3 = 1604.45, d4 = 1277.12, d5 = 171.149, d6 = 171.149, d7 = 272.545
 model: 75, d1 = 1482.72, d2 = 0.000117558, d3 = 1480.96, d4 = 1222.66, d5 = 144.479, d6 = 144.479, d7 = 244.247
 model: 76, d1 = 1526.29, d2 = 0.000126403, d3 = 1474.85, d4 = 1258.66, d5 = 164.529, d6 = 164.529, d7 = 261.44
 model: 77, d1 = 1499.52, d2 = 0.000120749, d3 = 1466.01, d4 = 1258.83, d5 = 160.52, d6 = 160.521, d7 = 245.949
 model: 78, d1 = 1486.84, d2 = 0.000118137, d3 = 1490.88, d4 = 1247.05, d5 = 149.34, d6 = 149.34, d7 = 248.514
 model: 79, d1 = 1457.54, d2 = 0.00011658, d3 = 1447.9, d4 = 1203.51, d5 = 144.892, d6 = 144.892, d7 = 227.755
