 model: 1, d1 = 267.38, d2 = 250.943, d3 = 249.542, d4 = 1490.03, d5 = 202.305, d6 = 813.895, d7 = 795.012, d8 = 1222.65, d9 = 148.43, d10 = 148.429, d11 = 576.54, d12 = 542.957, d13 = 414.733, d14 = 414.922, d15 = 0.487573
 model: 2, d1 = 244.555, d2 = 242.704, d3 = 243.04, d4 = 1417.6, d5 = 194.986, d6 = 731.891, d7 = 766.134, d8 = 1173.05, d9 = 144.399, d10 = 144.399, d11 = 528.123, d12 = 509.266, d13 = 370.448, d14 = 373.748, d15 = 0.521608
 model: 3, d1 = 266.742, d2 = 265.509, d3 = 264.213, d4 = 1570.67, d5 = 207.241, d6 = 807.205, d7 = 864.968, d8 = 1303.93, d9 = 165.968, d10 = 165.968, d11 = 568.453, d12 = 573.831, d13 = 433.608, d14 = 410.795, d15 = 0.504489
 model: 4, d1 = 255.084, d2 = 241.096, d3 = 241.185, d4 = 1491.75, d5 = 185.935, d6 = 803.839, d7 = 842.749, d8 = 1236.67, d9 = 153.454, d10 = 153.454, d11 = 544.981, d12 = 533.217, d13 = 427.093, d14 = 408.758, d15 = 0.455165
 model: 5, d1 = 251.425, d2 = 235.121, d3 = 233.979, d4 = 1448.56, d5 = 179.073, d6 = 792.35, d7 = 818.789, d8 = 1197.13, d9 = 152.35, d10 = 152.349, d11 = 535.315, d12 = 493.613, d13 = 422.013, d14 = 388.603, d15 = 0.460858
 model: 6, d1 = 231.921, d2 = 252.183, d3 = 253.32, d4 = 1432.79, d5 = 201.165, d6 = 866.613, d7 = 774.571, d8 = 1200.86, d9 = 152.082, d10 = 152.081, d11 = 564.919, d12 = 488.571, d13 = 411.424, d14 = 395.984, d15 = 0.508111
 model: 7, d1 = 250.808, d2 = 252.639, d3 = 255.506, d4 = 1480.22, d5 = 196.158, d6 = 804.043, d7 = 813.814, d8 = 1229.41, d9 = 159.213, d10 = 159.212, d11 = 524.488, d12 = 527.566, d13 = 411.166, d14 = 403.9, d15 = 0.485677
 model: 8, d1 = 238.655, d2 = 240.885, d3 = 241.092, d4 = 1411.62, d5 = 186.219, d6 = 780.517, d7 = 779.082, d8 = 1172.97, d9 = 152.798, d10 = 152.798, d11 = 518.456, d12 = 525.737, d13 = 410.926, d14 = 404.56, d15 = 0.460312
 model: 9, d1 = 279.318, d2 = 262.664, d3 = 263.014, d4 = 1473.48, d5 = 204.658, d6 = 788.141, d7 = 761.751, d8 = 1194.17, d9 = 164.636, d10 = 164.637, d11 = 509.186, d12 = 531.03, d13 = 388.742, d14 = 394.797, d15 = 0.518926
 model: 10, d1 = 259.198, d2 = 229.806, d3 = 230.682, d4 = 1377.33, d5 = 173.166, d6 = 762.78, d7 = 752.164, d8 = 1118.13, d9 = 151.026, d10 = 151.025, d11 = 509.883, d12 = 482.447, d13 = 380.429, d14 = 380.659, d15 = 0.454929
 model: 11, d1 = 295.554, d2 = 260.689, d3 = 260.155, d4 = 1565.27, d5 = 203.626, d6 = 800.867, d7 = 840.229, d8 = 1269.71, d9 = 162.751, d10 = 162.751, d11 = 564.056, d12 = 553.837, d13 = 432.024, d14 = 424.326, d15 = 0.480101
 model: 12, d1 = 266.386, d2 = 266.894, d3 = 265.293, d4 = 1638.01, d5 = 209.119, d6 = 918.447, d7 = 934.87, d8 = 1371.63, d9 = 165.824, d10 = 165.824, d11 = 566.542, d12 = 547.683, d13 = 467.795, d14 = 443.056, d15 = 0.47206
 model: 13, d1 = 293.059, d2 = 257.549, d3 = 254.488, d4 = 1566.49, d5 = 203.201, d6 = 841.351, d7 = 842.366, d8 = 1273.43, d9 = 158.24, d10 = 158.24, d11 = 578.869, d12 = 569.611, d13 = 420.247, d14 = 403.164, d15 = 0.50411
 model: 14, d1 = 274.867, d2 = 254.917, d3 = 254.38, d4 = 1503.95, d5 = 197.671, d6 = 851.248, d7 = 810.301, d8 = 1229.08, d9 = 160.947, d10 = 160.947, d11 = 549.962, d12 = 527.211, d13 = 423.233, d14 = 398.651, d15 = 0.496026
 model: 15, d1 = 282.296, d2 = 271.241, d3 = 271.605, d4 = 1555.34, d5 = 208.954, d6 = 812.29, d7 = 835.272, d8 = 1273.04, d9 = 172.904, d10 = 172.904, d11 = 543.608, d12 = 518.658, d13 = 430.882, d14 = 417.493, d15 = 0.500628
 model: 16, d1 = 273.708, d2 = 287.055, d3 = 287.084, d4 = 1573.15, d5 = 203.923, d6 = 769.09, d7 = 844.455, d8 = 1299.44, d9 = 202.028, d10 = 202.028, d11 = 511.343, d12 = 560.058, d13 = 430.909, d14 = 381.83, d15 = 0.534219
 model: 17, d1 = 273.934, d2 = 268.963, d3 = 271.04, d4 = 1559.08, d5 = 211.035, d6 = 810.688, d7 = 837.813, d8 = 1285.14, d9 = 166.745, d10 = 166.746, d11 = 596.597, d12 = 567.472, d13 = 421.055, d14 = 411.32, d15 = 0.513431
 model: 18, d1 = 244.482, d2 = 228.828, d3 = 231.311, d4 = 1399.65, d5 = 180.528, d6 = 764.724, d7 = 774.781, d8 = 1155.16, d9 = 140.607, d10 = 140.608, d11 = 473.578, d12 = 523.147, d13 = 395.016, d14 = 384.836, d15 = 0.469132
 model: 19, d1 = 247.574, d2 = 280.779, d3 = 279.73, d4 = 1511.84, d5 = 213.955, d6 = 833.64, d7 = 800.881, d8 = 1264.27, d9 = 181.804, d10 = 181.804, d11 = 578.797, d12 = 554.336, d13 = 406.091, d14 = 389.733, d15 = 0.549844
 model: 20, d1 = 281.675, d2 = 264.393, d3 = 264.921, d4 = 1568.37, d5 = 207.245, d6 = 829.682, d7 = 848.006, d8 = 1286.7, d9 = 164.164, d10 = 164.165, d11 = 592.573, d12 = 566.847, d13 = 425.653, d14 = 427.409, d15 = 0.48497
 model: 21, d1 = 262.348, d2 = 256.637, d3 = 258.472, d4 = 1524.06, d5 = 198.119, d6 = 839.427, d7 = 845.979, d8 = 1261.72, d9 = 163.127, d10 = 163.127, d11 = 562.207, d12 = 504.081, d13 = 436.275, d14 = 421.017, d15 = 0.470657
 model: 22, d1 = 280.288, d2 = 266.724, d3 = 268.843, d4 = 1584.23, d5 = 206.468, d6 = 875.001, d7 = 866.79, d8 = 1303.94, d9 = 168.833, d10 = 168.834, d11 = 551.55, d12 = 596.077, d13 = 441.498, d14 = 443.975, d15 = 0.465451
 model: 23, d1 = 265.098, d2 = 234.219, d3 = 235.001, d4 = 1425.12, d5 = 182.633, d6 = 731.225, d7 = 772.264, d8 = 1160.02, d9 = 146.615, d10 = 146.615, d11 = 505.219, d12 = 491.737, d13 = 391.602, d14 = 390.016, d15 = 0.46864
